Authors,Title,Source title,Link,Abstract,Author Keywords,Business management,Publisher,Document Type,Source
Uddin M.H.; Kabir S.H.; Kabir Hassan M.; Hossain M.S.; Liu J.,Why do sukuks (Islamic bonds) need a different pricing model?,International Journal of Finance and Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090996070&doi=10.1002%2fijfe.2269&partnerID=40&md5=0cdcd8edf4a0c6a7e3cd577d5e17f54c,"The global interest in sukuk, an Islamic alternative to bond financing, has grown rapidly, particularly after the 2008 global financial crisis, due to its distinctive features and investment quality. Sukuk were first launched in Malaysia and are presently available in 29 countries, including the United Kingdom, United States, Singapore, Hong Kong, and Luxembourg. Despite the global market prevalence of sukuk, asset pricing literature has not yet addressed the pricing mechanism of sukuk, which is inherently different from bonds and equity due to the contractual differences. However, analysts use LIBOR, or the Islamic interbank benchmark rate, as the ad-hoc benchmark to evaluate sukuk performance. In this study, we develop a basic pricing model that captures the common risks in sukuk returns. We identify two risk factors for sukuk that require risk premiums: (a) sukuk market risk and (b) information asymmetry risk. Using these two common sukuk risks factors, investment analysts can estimate the fair value of sukuk more precisely than other ad hoc measures available. © 2020 John Wiley & Sons Ltd.",reference rate; sukuk pricing; systematic risk factors; two factor model,Business and management,John Wiley and Sons Ltd,Article,Scopus
Souter G.; Tonge A.; Culvin A.,The impact of Covid-19 on the mental health of professional footballers,Managing Sport and Leisure,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099833669&doi=10.1080%2f23750472.2021.1877569&partnerID=40&md5=694867092f920d33da0336bd16b73896,"The Covid-19 pandemic has had huge ramifications on professional football. This commentary focuses on the impact of the pandemic on the mental health of professional footballers. Specifically, footballers within the English Premier League, English Football League, FA Women’s Super League and FA Women’s Championship. This commentary considers a holistic approach to mental health, the environment of professional football, and the impact of career transitions and critical moments on mental health. The intention is to stimulate discussion and further research of mental health and wellbeing within professional football. This paper considers the impact of Covid-19 and makes recommendations for professional football clubs to develop a holistic mental health strategy. We recommend that professional clubs increase the level of emotional support for professional footballers, and that this should not be a temporary measure due to the pandemic. Clubs should develop a long-term strategy to encourage players to seek emotional support. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",career transitions; elite sport; Mental health; professional football; well-being,Business and management,Taylor and Francis Ltd.,Article,Scopus
Rossi V.; Pipitone C.; Yates K.L.; Badalamenti F.; D'Anna G.; Pita C.; Alves F.L.; Argente-García J.E.; Basta J.; Claudet J.; Dahl K.; Fraschetti S.; Giovos I.; Mackelworth P.; Maniopoulou M.; Markantonatou V.; Marques M.; Noguera-Méndez P.; Piwowarczyk J.; Raykov V.; Rilov G.; Rumes B.; Said A.; Semitiel-García M.; Teff-Seker Y.; Vega Fernández T.; Goldsborough D.,Poor online information on European marine protected areas impairs public participation under the Aarhus Convention,Marine Policy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184474304&doi=10.1016%2fj.marpol.2024.106012&partnerID=40&md5=56c1099196dcc6ee2bc1c29e5aabc642,"The Aarhus Convention is a globally recognised benchmark for democratic environmental governance. However, no assessment exists on whether European MPAs comply with the legal standards set out by the Convention. Here, we focus on public authorities’ websites on MPAs as tools for promoting transparency, public involvement, and democratic processes. We assessed the websites of 61 European MPAs in thirteen countries using a survey structured by the three pillars of the Convention: access to information, participation in decision-making, and access to justice. We show that while most websites are used to disseminate information, they do not serve yet as participatory instruments. Very few have an area dedicated to public participation in decision-making and, when available, they provide scarce information on the outcomes of public involvement. Most websites provide general information on the MPA conservation objectives, but less than half provide access to reports on the results of management. Few websites provide information on available means to challenge unlawful acts. Websites’ potential as one of the most widely used, easily accessible, cost-effective sources of information and means for interaction with the general public should be better exploited. Increasing and facilitating the ability of the public to participate in MPA processes is key to ensure MPA success and environmental justice. © 2024 The Authors",Democratic governance; Environmental justice; European legislation; Information and communication technologies; Legal standards,Business and management,Elsevier Ltd,Article,Scopus
Yousuf M.; Zhai J.,The financial interconnectedness between global equity markets and crude oil: evidence from the GCC,Journal of Chinese Economic and Business Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118359925&doi=10.1080%2f14765284.2021.1989884&partnerID=40&md5=d11a36ec85229a52970aa4a21e227323,"This paper investigates the interconnectedness between the GCC region, crude oil prices, and global equity markets of the US, Europe, and China. We use DCC-GARCH models and the Diebold and Yilmaz (2012) approach to examine the dynamic connectedness and the net directional flow of spillovers. Consistent with previous studies, we find that the US and European markets are net global contributors of return and volatility shocks, whilst the Chinese equity markets are gradually becoming influential. Meanwhile, the GCC equity markets have been anet recipient of shocks from oil prices. Our empirical results provide some important insights. Firstly, the net transmission of shocks from oil prices to the GCC markets has been reducing over time. Secondly, the total connectedness nearly doubled in response to the global pandemic. Thirdly, the Chinese stock markets are gradually transforming into net transmitters of spillovers to other global equity markets. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",connectedness; crude oil; financial integration; Financial markets; GCC; spillovers,Business and management,Routledge,Article,Scopus
Baker R.; Chadwick S.; Parma R.; Scarf P.,"The binomial-match, outcome uncertainty, and the case of netball",Journal of the Operational Research Society,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108296440&doi=10.1080%2f01605682.2021.1931496&partnerID=40&md5=d2c6962947dec8463f0250138a558d4d,"We introduce the binomial-match as a model for the bivariate score in a paired-contest. This model is naturally associated with sports in which the restart alternates following a goal. The model is a challenger to the Poisson-match, a pair of independent Poisson random variables whose means are related to the strengths of the competing teams. We use the binomial-match primarily to study the relationship between outcome uncertainty and scoring-rate, particularly for high values of the scoring-rate. Netball has a high scoring-rate and motivates our model development. In the binomial-match framework, we also evaluate rule-variations, and study tactical play in netball. Our analysis suggests that the binomial-match is not a better forecaster than the Poisson-match, but it is better for representing outcome uncertainty and evaluating rule-variations and tactics. In general, we find that the binomial-match implies greater outcome uncertainty than the Poisson match, for a given scoring-rate, and that an alternating-restart is a good rule for reducing the frequency of tied outcomes. For netball in particular, we show that starting the final quarter with possession in a close, balanced match may confer a significant advantage. © Operational Research Society 2021.",competitive balance; forecasting; netball; outcome uncertainty; sport; tactics,Business and management,Taylor and Francis Ltd.,Article,Scopus
Dasandara M.; Ingirige B.; Kulatunga U.; Fernando T.,Climate financing barriers and strategies: the case of Sri Lanka,Journal of Financial Management of Property and Construction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125945788&doi=10.1108%2fJFMPC-12-2021-0069&partnerID=40&md5=2510d7e539c412cbbbabacc086182ab8,"Purpose: Climate change mitigation and adaptation play an important role in overcoming the climate change challenges facing Sri Lanka today. Many initiatives have been undertaken to implement different policies and plans in this regard, which require considerable mobilisation of national and international financing. In acquiring climate finance, many barriers can be identified. This paper aims to investigate such barriers to climate financing in Sri Lanka and proposes strategies to address them. Design/methodology/approach: The qualitative research approach was undertaken in this study by conducting ten semi-structured interviews with experts who are involved in climate change policy implementation activities in Sri Lanka. The collected data were analysed using the content analysis method via Nvivo software. Findings: The empirical findings unveil six key barriers and the corresponding root causes to climate financing in Sri Lanka. Inadequate domestic funding for climate actions was captured as the dominant barrier in this direction. This study also revealed that barriers and their root causes are interconnected, leading to many financial limitations in implementing climate actions. The importance of playing a leading role by the government and enabling an integrated approach between the private and public sector organisations were identified as key strategies to combat climate finance barriers. Originality/value: Despite there being studies focusing on climate change and related policies, limited research has been carried out with regard to climate financing. Within this context, this study makes an original contribution in the area of climate financing with particular reference to a developing country like Sri Lanka. Further, the identification of barriers to climate financing, their root causes and strategies to address them also provides an original contribution to theory and practice. © 2020, Emerald Publishing Limited.",Barriers; Climate actions; Climate change; Climate change policy implementations; Climate finance; Strategies,Business and management,Emerald Publishing,Article,Scopus
Darlington R.,Strikers versus scabs: violence in the 1910-1914 British labour revolt,Labor History,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137574381&doi=10.1080%2f0023656X.2022.2103103&partnerID=40&md5=62ef385dc17fc48f222d96c109dcfc81,"Over the last 200 years of British labour history there have been frequent examples of aggressive and sometimes violent mass picketing aimed at stopping non-striking scab or so-called ‘blackleg’ labour [sic]. Yet remarkably little detailed attention has been given within the field of British industrial relations or even labour history to the contributory causes, characteristic features, impact and broader implications of this violent dimension of the strikers/scabs relationship within industrial militancy. This paper attempts to fill the gap, focusing on one of the most intense and graphic illustrative time periods, the pre-First World War Labour Revolt between 1910-14. Drawing on an extensive range of secondary literature and new archival material, it explores the way in which working class violence as a form of active collective defence became justified by the way in which it was directly provoked by the employers’ encouragement and/or importation of scab labour, combined with the partisan intervention of police, troops, civil authorities and government as a means of attempting to defeat workers’ struggles. In challenging the legitimacy of public order and state power, such action encouraged a culture of community solidarity and self-defence that embraced many local supporters in the mass picketing against ‘blacklegs’. . © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",pickets; Strikers; trade unions; violence,Business and management,Routledge,Article,Scopus
Gunton R.M.; Hejnowicz A.P.; Basden A.; van Asperen E.N.; Christie I.; Hanson D.R.; Hartley S.E.,Valuing beyond economics: A pluralistic evaluation framework for participatory policymaking,Ecological Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127332574&doi=10.1016%2fj.ecolecon.2022.107420&partnerID=40&md5=2aafb2aa540991cdb659cbf0e7b9a7f8,"The sustainability challenges facing societies call for policies and governance systems that are attuned to the diversity of goods that support and enrich human life via ecological, technical and other kinds of systems, and to the plurality of values that people hold across diverse cultures and belief systems. A pluralistic evaluation framework (PEF) is here presented as a tool for considering diverse kinds of goodness as perceived by diverse stakeholders in the design and evaluation of policies or projects. It arises from considering a suite of aspects of meaning (biotic, economic, aesthetic, etc.) at each of three stages, namely: identifying relevant stakeholders, mapping real-world systems and assessing modes of valuing. This framework, drawing on the philosophical work of Herman Dooyeweerd and Dirk Vollenhoven, offers a joined-up, participatory approach to policymaking. We report pilot trials of the PEF with groups of policymakers at a series of workshops, demonstrating that it provides additional perspectives and unification of core issues and can be used in a wide range of areas of policymaking and project assessment. We also illustrate its potential application to a controversial environmental project and outline how a pluralistic evaluation framework can be used in tandem with existing frameworks. © 2022 Elsevier B.V.",Policy; Process; Reformational philosophy; Social-ecological system; Stakeholder engagement; Value,Business and management,Elsevier B.V.,Article,Scopus
Moghaddam M.R.S.; Safari A.; Safari H.; Mansouri T.,Scenario building and measurement of the business process maturity using fuzzy cognitive mapping technique: a case study in SAIPA company,International Journal of Process Management and Benchmarking,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148001521&doi=10.1504%2fIJPMB.2021.10037758&partnerID=40&md5=b81dfe2146448408e682d1abfaac4e56,"One of the current concerns of managers is to develop the business process maturity and identify the conditions for improving the pertaining processes. This eventuates in increased customers, reduced costs along with mechanised business processes. In this regard, this paper unveils a two-stage approach to develop the maturity of business process management exploiting the fuzzy cognitive mapping technique. In the first stage, a systematic review of the relevant literature is carried out. The output of this stage encompasses the maturity levels, factors and indicators of the concerned business process model. Applying the fuzzy cognitive mapping technique, the second stage obtains macro causes and effects, in which, the dimensions of maturity and related relationships are identified to render the possibility of scenario building for the development of business process maturity. In a bid to validate and verify the proposed approach, a real case study is conducted, via which important insights are derived. Copyright © 2023 Inderscience Enterprises Ltd.",business process maturity model; fuzzy cognitive map; scenario planning,Business and management,Inderscience Publishers,Article,Scopus
Gyau Baffour Awuah K.; Hammond F.N.,A Review of the Provision on Capital Improvement in Ghana’s Local Real Estate Tax Manifesto,Journal of Real Estate Literature,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134898890&doi=10.1080%2f09277544.2022.2093820&partnerID=40&md5=995eeafbd82ea03873cee43c81c69d4f,"Although a potential to improve revenue mobilisation of local authorities, it is claimed Ghana’s local real estate tax provision on capital improvement is a penalty on land development. This work evaluates the claim in the context of equity and economic efficiency. Findings from the work support the claim. Compared with undeveloped lands particularly in cities, the tax is discriminatory to capital improvements, which situation could incentivise investment in undeveloped lands and be a potential cause for a lot of undeveloped lands, uncompleted and leap-frog developments in cities. It is also not neutral and diminishes the return on capital and the capacity of landlords to keep their buildings in constant repair thereby discouraging capital improvement on land. Coupled with factors like the current poor tax collection, this could affect the revenue mobilisation and socio-economic development efforts of local and central governments. Thus, the tax policy stands a plea for a reform. © 2022 American Real Estate Society.",Economic efficiency; equity; Ghana; real estate; taxation canons,Business and management,Taylor and Francis Ltd.,Article,Scopus
Aziz Z.; Alzaabi E.; Syazli Fathi M.,Prioritisation of resilience criteria and performance indicators for road emergencies crisis response: an analytic hierarchy process (AHP) approach,Journal of Financial Management of Property and Construction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125068566&doi=10.1108%2fJFMPC-11-2021-0065&partnerID=40&md5=e90a042b4864b6a87ec9d23ef865ff6e,"Purpose: This paper aims to develop a crisis readiness framework for road traffic crisis response for law enforcement agencies in the United Arab Emirates (UAE). Design/methodology/approach: A Delphi method was used that combined questionnaire-based survey and the analytical hierarchy process to collect quantitative and qualitative data from an expert panel of crisis readiness professionals on how they prioritise and weigh the different strategic criteria, sub-criteria and performance indicators in the context of law enforcement agencies’ traffic response. Findings: The findings of this paper resulted in the identification, ranking and validation of ten key dimensions of crisis readiness clustered into three distinct sets of priority rankings: response planning, resources, training and coordination; information management and communication and risk and hazard assessment; and early warning, legal and institutional frameworks, recovery initiation and property protection. The results additionally established the relative priority of sub-criteria for each criterion and validated a broad set of key performance indicators (KPIs) for the top six ranked criteria. Research limitations/implications: The findings are based on a single case study focused on a specific area of operation within crisis response and one group of organisations of the UAE police sector. This potentially places a constraint on the wider generalisation of the findings to different operational areas and agencies, as they may have different priorities or organisational conditions that have implications for the framework application and the relative importance of certain criteria and sub-criteria. Practical implications: This paper provides strategic guidance in the form of a prioritised list of criteria, sub-criteria and KPIs that can direct efforts to optimise different dimensions of crisis readiness at a strategic and operational level. Originality/value: This paper makes an original contribution in identifying the key criteria and performance indicators of crisis readiness for road traffic situations. The findings contribute a comprehensive strategic readiness framework that supports planning and decision-making for the development of organisational capacities that can enhance response times of police to road traffic crises. This framework ranks dimensions of crisis readiness and key sub-criteria in order of priority and validates the key components of crisis readiness that can support practitioners to structure, standardise and benchmark key processes and elements of crisis response. © 2020, Emerald Publishing Limited.",Analytic hierarchy process; Delphi method; Performance indicators; Resilience criteria; Road emergencies crisis response,Business and management,Emerald Publishing,Article,Scopus
Malhotra N.; Sahadev S.; Sharom N.Q.,"Organisational justice, organisational identification and job involvement: the mediating role of psychological need satisfaction and the moderating role of person-organisation fit",International Journal of Human Resource Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084321904&doi=10.1080%2f09585192.2020.1757737&partnerID=40&md5=8d958fffeab66d8a13da9bcccf89ed8c,"Drawing on self-determination theory, this study seeks to account for the influence of perceived organisational justice on employees’ identification with the organisation and job. In particular, the study examines the mediating mechanism of psychological need satisfaction (PNS) in the relationship between the three forms of perceived organisational justice (procedural, distributive and interactional) and organisational identification as well as job involvement. Integrating the P-E fit literature, this study also investigates the under-researched moderating role of person-organisation (P-O) fit. Our findings demonstrate that PNS fully mediates the relationship between perceived justice and organisational identification as well as job involvement. Further, the direct effects of PNS and the indirect effects of perceived justice on both outcomes are found to be stronger when P-O fit is high. Although both distributive and interactional justice are found to influence PNS, the effect of the commonly investigated procedural justice is not found to be significant. Theoretical and practical implications of the study are discussed along with avenues for future research. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",job involvement; justice; organisational identification; person-organisation fit; Psychological need satisfaction,Business and management,Routledge,Article,Scopus
Amadi A.I.,Towards methodological adventure in cost overrun research: linking process and product,International Journal of Construction Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102431004&doi=10.1080%2f15623599.2021.1894632&partnerID=40&md5=5fddd4151b9d18baeedfc925e1497143,"The continued adoption of singular paradigms in the study of construction phenomena has elicited dialectical debates in scholarly literature. Calls have been made for more adventurous research methods, beyond the positivist versus interpretivist philosophical divide traditionally embraced by the industry. This study analyses the extensive scholarly debates, advancing and advocating philosophical positions to understand construction phenomena, and further narrows down the argument to within the specific domain of cost overrun research. A systematic and chronological literature review of the methodological/philosophical underpinnings of 41 papers was carried out. The papers were selected by following a staged exclusion criterion. The study outcome reveals that similar dialectical debates and methodological conservatism are still evident, with the predominance of mono-paradigm studies in the bulk of the empirical literature. Most of the empirical literature either provides interpretivist theoretical explanations from qualitative data or positivistically analyses quantitative data to provide technical explanations. To this end, mixed paradigm examples are spotlighted, demonstrating the relevance of linking process and product via methodological adventure in cost overrun research. Transcending the paradigmic divide is necessary to develop a more useful and contextually anchored view of practice, essential to mitigate and provide a holistic understanding of what drives cost overruns in public projects. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Construction management; cost overrun research; mixed methods; mixed paradigms,Business and management,Taylor and Francis Ltd.,Article,Scopus
Moghadam M.R.S.; Mansouri T.; Sheykhizadeh M.,Markowitz-Based Cardinality Constrained Portfolio Selection Using Asexual Reproduction Optimization (ARO),Iranian journal of Management Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133662776&doi=10.22059%2fIJMS.2021.313393.674293&partnerID=40&md5=ecde535f4669e60a3479dc61f34bdca5,"The Markowitz-based portfolio selection turns to an NP-hard problem when considering cardinality constraints. In this case, existing exact solutions like quadratic programming may not be efficient to solve the problem. Many researchers, therefore, used heuristic and metaheuristic approaches in order to deal with the problem. This work presents Asexual Reproduction Optimization (ARO), a model-free metaheuristic algorithm inspired by the asexual reproduction, in order to solve the portfolio optimization problem including cardinality constraint to ensure the investment in a given number of different assets and bounding constraint to limit the proportions of fund invested in each asset. This is the first time that this relatively new metaheuristic is applied in the field of portfolio optimization, and we show that ARO results in better quality solutions in comparison with some of the well-known metaheuristics stated in the literature. To validate our proposed algorithm, we measured the deviation of the obtained results from the standard efficient frontier. We report our computational results on a set of publicly available benchmark test problems relating to five main market indices containing 31, 85, 89, 98, and 225 assets. These results are used in order to test the efficiency of our proposed method in comparison to other existing metaheuristic solutions. The experimental results indicate that ARO outperforms Genetic Algorithm (GA), Tabu Search (TS), Simulated Annealing (SA), and Particle Swarm Optimization (PSO) in most of test problems. In terms of the obtained error, by using ARO, the average error of the aforementioned test problems is reduced by approximately 20 percent of the minimum average error calculated for the above-mentioned algorithms. © 2022 University of Nigeria, Institute of African Studies. All rights reserved.",asexual reproduction optimization; cardinality constraints; efficient frontier; Markowitz mean-variance model; portfolio optimization,Business and management,"University of Tehran, College of Farabi",Article,Scopus
Sahadev S.; Malhotra N.; Kannangara L.N.; Ritchie B.W.,Disaster Planning Intentions of Tourism Accommodation Managers: Understanding the Influence of Past Disaster Experience and Disaster Management Training,Journal of Travel Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146347996&doi=10.1177%2f00472875221145129&partnerID=40&md5=ea0b0938bd75fcdd56c87b3f504c6680,"Tourism is one of the most vulnerable industries to disasters, and empirical studies on disaster preparedness have been surprisingly sparse. Drawing on the theory of planned behavior, this study sheds light on the unexplored mediating role of strategic decision-makers’ (SDMs) disaster cognition along with their attitude to explicate how and why learning influences disaster planning. Hypotheses were tested using two-phase survey data collected from 301 SDMs of Sri Lankan accommodation establishments. Clarifying previous inconsistent findings regarding the role of learning, this study demonstrated that training and past disaster experience indirectly influenced SDMs’ planning intentions via their disaster cognition and attitude toward disaster planning. In this regard, past experience was found to regulate the relationship of training with both cognition and attitude, implying that disaster training programs may be more influential for encouraging disaster planning intentions of lesser experienced SDMs by stimulating their disaster cognition and attitude. © The Author(s) 2023.",attitude; disaster cognition; disaster management planning; tourism accommodation industry; training,Business and management,SAGE Publications Ltd,Article,Scopus
Sullivan J.; Zhao Y.; Chadwick S.; Gow M.,"Chinese Fans’ Engagement with Football: Transnationalism, Authenticity and Identity",Journal of Global Sport Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101051215&doi=10.1080%2f24704067.2021.1871855&partnerID=40&md5=f00f1c1c1e4994eadd315422eb9dfff6,"Football in China is undergoing an unprecedented expansion, the result of targeted industrial policy, private sector investment, and the increased popularity of the world’s most popular game in the world’s most populous nation. Yet, as China’s own football infrastructure matures and foreign clubs seek to establish new fanbases there, little is known about Chinese football fans themselves, the ways in which they express their fandom, or the methods by which they consume football. This study aims to take a first step in identifying and exploring football fandom in the People’s Republic of China, with a view to critically understanding the context out of which it has emerged, and its likely trajectory of development in the short-to-medium term. Adopting an inductive approach to survey research to explore the attitudes, behaviours and activities of Chinese football fans, an online survey resulting in 710 usable responses was conducted on a Chinese online survey platform Wenjuanxing (问卷星) for three weeks in March 2018. Our research identifies similarities with fandom found elsewhere in the world, yet with key differences generally characteristic of Chinese football fans resulting from the geography, distance and league structures of China’s domestic football infrastructure. A tendency to support more than one club, often one domestic and one foreign club, is also noted, with distinct methods of consumption which eschew traditional forms such as match attendance. © 2021 Global Alliance of Marketing & Management Associations (GAMMA).",authenticity; engagement; Fans; identity; transnationalism,Business and management,Routledge,Article,Scopus
Moulick D.; Ghosh D.; Mandal J.; Bhowmick S.; Mondal D.; Choudhury S.; Santra S.C.; Vithanage M.; Biswas J.K.,A cumulative assessment of plant growth stages and selenium supplementation on arsenic and micronutrients accumulation in rice grains,Journal of Cleaner Production,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145964280&doi=10.1016%2fj.jclepro.2022.135764&partnerID=40&md5=40190d12df704b26c64eec09b0f8236b,"Arsenic (As) accumulation in rice grain and subsequent transmission into the food chain is a major global concern. Numerous attempts to minimize As accumulation in rice have been researched till date. The current investigation evaluates the relative susceptibility of different growth stages of rice plant to As stress in terms of As accumulation in grain at maturity using sixty treatment combinations. Our findings suggest that supplementing with selenium (Se) resulted in minimizing As content significantly (at P < 0.001 level) in grain, irrespective of growth stages where As stress was introduced. The findings registered the following order of susceptibility to As stress: flowering > grain filling > maximum tillering. Our findings also showed that Se primed rice plants restricts majority of As accumulation in the root itself and minimizes As translocation to the above ground part. The results of this study shows that cultivation of Se primed seeds can be (i) an effective means to minimize As accumulation in rice, and (ii) potential mode of biofortification of rice grain with essential nutrient elements {iron (8.47–10.17 mg L-1), zinc (7.14–8.05 mg L-1), manganese (17.92–19.71 mg L-1) and copper (3.18–3.28 mg L-1)} improving the recommended dietary intake of micronutrients, an invaluable strategy especially for malnourished rice dependent populations. Using machine learning this study also predicts that the Se concentration of 0.862 mg L−1 could be the most effective input in minimizing As content and enhancing other micronutrient content, irrespective of As stress. © 2023 Elsevier Ltd",As stress; Growth stages; RDI; Rice; Selenium seed priming,Business and management,Elsevier Ltd,Article,Scopus
Papanagnou C.; Seiler A.; Spanaki K.; Papadopoulos T.; Bourlakis M.,Data-driven digital transformation for emergency situations: The case of the UK retail sector,International Journal of Production Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138795920&doi=10.1016%2fj.ijpe.2022.108628&partnerID=40&md5=a474027974e3347dfc6eb007adb0d395,"The study explores data-driven Digital Transformation (DT) for emergency situations. By adopting a dynamic capability view, we draw on the predictive practices and Big Data (BD) capabilities applied in the UK retail sector and how such capabilities support and align the supply chain resilience in emergency situations. We explore the views of major stakeholders on the proactive use of BD capabilities of UK grocery retail stores and the associated predictive analytics tools and practices. The contribution lies within the literature streams of data-driven DT by investigating the role of BD capabilities and analytical practices in preparing supply and demand for emergency situations. The study focuses on the predictive way retail firms, such as grocery stores, could proactively prepare for emergency situations (e.g., pandemic crises). The retail industry can adjust the risks of failure to the SC activities and prepare through the insight gained from well-designed predictive data-driven DT strategies. The paper also proposes and ends with future research directions. © 2022 The Authors",Big data capability; Digital transformation; Emergency situations; Predictive analytics; Retail industry; Structural equation modelling,Business and management,Elsevier B.V.,Article,Scopus
Preziuso M.; Koefer F.; Ehrenhard M.,Open banking and inclusive finance in the European Union: perspectives from the Dutch stakeholder ecosystem,Financial Innovation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167418655&doi=10.1186%2fs40854-023-00522-1&partnerID=40&md5=1b36a14d83fce61b9cfb9ba381116ee1,"In the European Union (EU), the revised Payment Services Directive (PSD2) aims to provide more convenient and customized financial products through open banking (OB) platforms. However, little attention has been paid to the role of OB in improving the financial well-being of the growing number of the EU’s underserved groups, which currently constitute approximately a quarter of its population. This study examines how the PSD2 and OB impact inclusive finance in the EU based on the perspectives of the Netherlands’ ecosystem, one of the leaders in the EU’s financial technology (FinTech) landscape. A fundamental distinction can be drawn between the OB users and the ecosystem’s players. Regarding the impact of financial services on the users’ inclusivity, while the PSD2 strengthens the infrastructure necessary for financial inclusion, many challenges remain, mainly because it was not designed for this purpose. This study identifies several areas of improvement that include adjustments to the know your customer and anti-money laundering processes for underserved customers, innovative ways to communicate the PSD2’s potential, and the regulation of technology providers’ activities to build trust. Meanwhile, from the ecosystem’s position, there is a need to strengthen and improve microfinance regulation according to the opportunities provided by the PSD2 to support microfinance institutions (MFIs) in scaling up and reaching underserved clients across borders with innovative services. OB improvements can also be achieved by organizations formed by MFIs and FinTechs in collaboration with banks. Such hybrid institutions will combine the best features of each of them: knowledge of the needs of local underserved clients from MFIs, technological innovations from FinTechs, and large and trusted customer bases, infrastructures, and access to institutional investments and governments from banks. Finally, an EU inclusive OB sector depends on the centrality of trusted regulators as coordination bodies. © 2023, The Author(s).",Ecosystems; FinTech; Inclusive finance; Open banking; The European Union; The Netherlands; The Revised Payment Services Directive (PSD2),Business and management,Springer Science and Business Media Deutschland GmbH,Article,Scopus
Fenton A.; Gillooly L.; Vasilica C.M.,Female fans and social media: micro-communities and the formation of social capital,European Sport Management Quarterly,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099829062&doi=10.1080%2f16184742.2020.1868546&partnerID=40&md5=89aeb348bde1a68c675e15986b17d245,"Research question: Using the theoretical lens of social capital, this study explores the challenges faced by female football fans in performing their fandom on social media, and how they respond to these challenges in the way they consume and express their fandom within these online spaces. In doing so, the study responds to calls for further, empirical research on both the experiences of female sports fans and the darker side of social media. Research methods: An exploratory, qualitative research design is adopted, comprising in-depth, semi-structured interviews with 15 female fans of European professional football clubs. Interview data is analysed using inductive thematic analysis. Results and findings: The study contributes novel evidence to the fields of social media, social capital and football fandom, revealing that the male hegemony of football fandom is reinforced through social media. This leads to modified online behaviour by female fans, whereby micro-communities are formed in which they discuss football. The splintering of the online fan community into these micro-communities represents a form of cyberbalkanization and has implications for female fans’ ability to build bridging social capital on social media. Implications: This study responds to calls for a more theoretically informed approach to social media research in sport, drawing on theories of social capital and performative sport fandom to understand the strategies employed by female fans in performing their fandom on social media. The findings raise questions of how professional sports clubs can engage female audiences and champion inclusive cultures of fandom. © 2021 European Association for Sport Management.",cyberbalkanization; female fans; football; social capital; Social media,Business and management,Routledge,Article,Scopus
,,,,,,,,,
